Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
BL21-DE3,NS,NS,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012971
BL21-Gold,NS,NS,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012947
BW2952,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_012759
C12-92,UK,NS,aEPEC ref,335,CG335,cluster_21,CQ,CQ,AIAE00000000
C1214-90,India,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AIAC00000000
C1244-91,UK,NS,aEPEC ref,335,CG335,cluster_21,selC,10,AIAD00000000
C154-11,Denmark,NS,aEPEC ref,335,CG335,cluster_21,selC,10,AIAF00000000
C155-11,Denmark,NS,aEPEC ref,21,CG29,cluster_7,pheU,8,AIAG00000000
C157-11,Denmark,NS,aEPEC ref,335,CG335,cluster_21,CQ,CQ,AIAH00000000
C161-11,Denmark,NS,aEPEC ref,32,cluster_61,cluster_61,CQ,CQ,AIAI00000000
C166-11,Denmark,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AICF00000000
C170-11,Denmark,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIAJ00000000
C213-10,Denmark,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIAL00000000
C2139-99,Denmark,NS,aEPEC ref,28,CG121,cluster_26,selC,30,AIAM00000000
C238-91,Germany,NS,aEPEC ref,343,cluster_71,cluster_71,CQ,CQ,AIAN00000000
C260-92,Italy,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIAO00000000
C262-10,Denmark,NS,aEPEC ref,*4729,cluster_17,cluster_17,selC,26,AIAP00000000
C283-09,Slovenia,NS,aEPEC ref,342,cluster_40,cluster_40,NS,8,AIAQ00000000
C295-10,Denmark,NS,aEPEC ref,*4730,cluster_78,cluster_78,selC,19,AIAR00000000
C341-10,Denmark,NS,aEPEC ref,20,CG3,cluster_4,CQ,CQ,AIAS00000000
C342-62,Egypt,NS,tEPEC,3,CG3,cluster_4,NS,8,SRS085190
C343-08,Denmark,NS,aEPEC ref,154,cluster_53,cluster_53,CQ,CQ,AIAT00000000
C347-93,Thailand,NS,aEPEC ref,29,CG29,cluster_42,NS,5,AIAU00000000
C353-09,Denmark,NS,aEPEC ref,2538,cluster_63,cluster_63,CQ,CQ,AIAV00000000
C354-03B,UK,NS,aEPEC ref,11,CG11,cluster_11,CQ,CQ,AIAW00000000
C40-11,Denmark,NS,aEPEC ref,342,cluster_40,cluster_40,NS,8,AIAX00000000
C418-89,Italy,NS,aEPEC ref,583,cluster_36,cluster_36,selC,14,AIAY00000000
C458-10,Denmark,NS,aEPEC ref,40,CG40,cluster_27,CQ,CQ,AIAZ00000000
C488-07,Denmark,NS,aEPEC ref,20,CG3,cluster_4,CQ,CQ,AIBA00000000
C496-10,Denmark,NS,aEPEC ref,10,CG10,cluster_14,CQ,CQ,AIBB00000000
C497-10,NS,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIBC00000000
C527-94,Denmark,NS,aEPEC ref,328,CG328,cluster_3,pheV,8,AIBD00000000
C58-11,Denmark,NS,aEPEC ref,*4731,cluster_57,cluster_57,selC,19,AIBF00000000
C581-05,Africa,NS,tEPEC,28,CG121,cluster_26,selC,30,AIBE00000000
C586-05,Africa,NS,tEPEC,28,CG121,cluster_26,selC,30,AIBG00000000
C639-08,Denmark,NS,aEPEC ref,725,cluster_25,cluster_25,selC,25,AIBH00000000
C652-10,Denmark,NS,aEPEC ref,517,CG517,cluster_5,selC,22,AIBI00000000
C654-09,France,NS,aEPEC ref,29,CG29,cluster_7,CQ,CQ,AIBJ00000000
C717-10,Denmark,NS,aEPEC ref,4550,cluster_19,cluster_19,CQ,CQ,AIBK00000000
C725-88,Germany,NS,tEPEC,590,cluster_37,cluster_37,selC,20,AIBL00000000
C732-98,Israel,NS,aEPEC ref,206,cluster_23,cluster_23,selC,28,AIBM00000000
C743-03,Austria,NS,aEPEC ref,517,CG517,cluster_5,selC,22,AIBN00000000
C751-03,Austria,NS,aEPEC ref,206,cluster_23,cluster_23,selC,28,AIBO00000000
C78-09C,Belgium,NS,aEPEC ref,*4732,cluster_90,cluster_90,selC,13,AIBP00000000
C79-08,Slovenia,NS,aEPEC ref,28,cluster_73,cluster_73,CQ,CQ,AIBQ00000000
C792-92,Italy,NS,aEPEC ref,29,CG29,cluster_7,pheU,8,AIBR00000000
C796-10,Denmark,NS,aEPEC ref,2346,cluster_55,cluster_55,selC,25,AIBS00000000
C799-92,Italy,NS,aEPEC ref,29,CG29,cluster_7,NS,8,AIBT00000000
C80-08,Slovenia,NS,tEPEC,590,cluster_37,cluster_37,selC,20,AIBU00000000
C807-09,Denmark,NS,aEPEC ref,327,cluster_9,cluster_9,CQ,CQ,AIBV00000000
C82-11,Denmark,NS,aEPEC ref,20,CG3,cluster_4,NS,8,AIBW00000000
C824-10,Denmark,NS,aEPEC ref,29,CG29,cluster_7,NS,12,AIBX00000000
C842-97,Japan,NS,aEPEC ref,11,CG11,cluster_11,CQ,CQ,AIBY00000000
C844-97,Japan,NS,aEPEC ref,725,cluster_25,cluster_25,selC,25,AIBZ00000000
C87-11,Denmark,NS,aEPEC ref,327,cluster_9,cluster_9,CQ,CQ,AICA00000000
C887-10,Denmark,NS,aEPEC ref,121,CG121,cluster_26,selC,30,AICB00000000
C9-92,UK,NS,aEPEC ref,*4733,cluster_54,cluster_54,selC,24,AICE00000000
C900-01,Guinea-Bissau,NS,aEPEC ref,17,CG3,cluster_4,NS,6,AICC00000000
C93-11,Denmark,NS,aEPEC ref,4554,cluster_12,cluster_12,NS,29,AICD00000000
CB9615,Germany,2003,aEPEC ref,335,CG335,cluster_21,selC,10,NC_013941
CE10,USA,mid 2000s,NS,62,cluster_34,cluster_34,NoLEE,NoLEE,NC_017646
CFT073,USA,1982,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,NC_004431
cloneDi14,NS,2007,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,CP002212
CloneDi2,NS,2002,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,CP002211
DEC11A,USA,1975,aEPEC ref,20,CG3,cluster_4,NS,8,AIGV00000000
DEC11B,USA,1971,aEPEC ref,20,CG3,cluster_4,pheV,8,AIGW00000000
DEC11C,USA,1983,nO157EHEC,17,CG3,cluster_4,NS,6,AIGX00000000
DEC11D,Uk,1989,aEPEC ref,3,CG3,cluster_4,NS,8,AIGY00000000
DEC11E,Brazil,NS,aEPEC ref,3,CG3,cluster_4,NS,8,AIGZ00000000
DEC12A,UK,1950,aEPEC ref,3,CG3,cluster_4,NS,8,AIHA00000000
DEC12B,USA,1956,tEPEC,3,CG3,cluster_4,CQ,CQ,AIHB00000000
DEC12C,Panama,1967,tEPEC,3,CG3,cluster_4,NS,8,AIHC00000000
DEC12D,Peru,1983,tEPEC,3,CG3,cluster_4,NS,CQ,AIHD00000000
DEC12E,Kenya,1986,tEPEC,3,CG3,cluster_4,NS,8,AIHE00000000
DEC1A,USA,1956,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEV00000000
DEC1B,Ghana,1958,tEPEC,*4728,CG4728,cluster_6,selC,27,AIEW00000000
DEC1C,Germany,1951,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEX00000000
DEC1D,Egypt,1955,tEPEC,*4734,cluster_68,cluster_68,selC,27,AIEY00000000
DEC1E,Mexico,1986,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIEZ00000000
DEC2A,Congo,1962,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFA00000000
DEC2B,USA,NS,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AJFB00000000
DEC2C,USA,1954,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFB00000000
DEC2D,France,1951,tEPEC,*4728,CG4728,cluster_6,CQ,CQ,AIFC00000000
DEC2E,USA,1977,tEPEC,*4728,CG4728,cluster_6,selC,27,AIFD00000000
DEC4A,Argentina,1999,aEPEC ref,11,CG11,cluster_11,selC,10,AIFK00000000
DEC4B,Denmark,1987,O157EHEC,11,CG11,cluster_11,selC,10,AIFL00000000
DEC4C,Egypt,1983,aEPEC ref,11,CG11,cluster_11,selC,10,AIFM00000000
DEC4D,Japan,1987,O157EHEC,11,CG11,cluster_11,selC,10,AIFN00000000
DEC4E,Denmark,1988,O157EHEC,11,CG11,cluster_11,selC,10,AIFO00000000
DEC5A,USA,1950,aEPEC ref,*335,CG335,cluster_21,selC,10,AIFQ00000000
DEC5B,USA,1979,aEPEC ref,335,CG335,cluster_21,selC,10,AIFR00000000
DEC5C,USA,1966,aEPEC ref,335,CG335,cluster_21,selC,10,AIFS00000000
DEC5D,Sri Lanka,1965,aEPEC ref,335,CG335,cluster_21,selC,10,AIFT00000000
DEC5E,Iran,1963,aEPEC ref,61,CG335,cluster_21,selC,10,AIFU00000000
DEC9A,USA,1961,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGK00000000
DEC9B,USA,1979,aEPEC ref,29,CG29,cluster_7,NS,8,AIGL00000000
DEC9C,Switzerland,1952,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGM00000000
DEC9D,Denmark,1967,aEPEC ref,29,CG29,cluster_7,pheU,8,AIGN00000000
