identifier,reads,source
esc_ja8946aa_as,SRR5023946,enterobase
esc_ja3883aa_as,SRR4897315,enterobase
esc_ga8951aa_as,SRR3581379,enterobase
esc_sa4291aa_as,SRR7250948,enterobase
esc_ga8919aa_as,SRR3581342,enterobase
esc_sa2241aa_as,SRR7186928,enterobase
esc_ka0672aa_as,SRR5034929,enterobase
esc_ha8434aa_as,SRR3987930,enterobase
esc_ha3274aa_as,SRR3773391,enterobase
esc_ba9412aa_as,SRR785653,enterobase
esc_ba9412aa_as,SRR785654,enterobase
esc_ba9412aa_as,SRR958490,enterobase
esc_ba9412aa_as,SRR958491,enterobase
esc_ja4040aa_as,SRR4897681,enterobase
esc_pa5432aa_as,SRR6052804,enterobase
esc_ja4523aa_as,SRR4787295,enterobase
esc_sa5291aa_as,SRR7282627,enterobase
esc_ba0039aa_as,SRR1981486,enterobase
esc_ja4044aa_as,SRR4897686,enterobase
esc_pa5464aa_as,SRR6052838,enterobase
esc_ca4283aa_as,ERR161300,enterobase
esc_ra4417aa_as,SRR6671862,enterobase
