"Sample name","Sample accession","Lane name","Lane accession"
3380STDY6001975,ERS576150,15056_4#4,ERR830563
3380STDY6001976,ERS576152,15056_4#5,ERR830564
3380STDY6001977,ERS576154,15056_4#6,ERR830565
3380STDY6001979,ERS576158,15056_4#8,ERR830567
3380STDY6001980,ERS576160,15056_4#9,ERR830568
3380STDY6001981,ERS576162,15056_4#10,ERR830569
3380STDY6002000,ERS576196,15056_4#27,ERR830586
3380STDY6002001,ERS576198,15056_4#28,ERR830587
3380STDY6002002,ERS576200,15056_4#29,ERR830588
3380STDY6002003,ERS576202,15056_4#30,ERR830589
3380STDY6002005,ERS576205,15056_4#31,ERR830590
3380STDY6002007,ERS576208,15056_4#33,ERR830592
3380STDY6002008,ERS576209,15056_4#34,ERR830593
3380STDY6002009,ERS576210,15056_4#35,ERR830594
3380STDY6002010,ERS576211,15056_4#36,ERR830595
3380STDY6002011,ERS576212,15056_4#37,ERR830596
3380STDY6002012,ERS576213,15056_4#38,ERR830597
3380STDY6002014,ERS576214,15056_4#39,ERR830598
3380STDY6002015,ERS576215,15056_4#40,ERR830599
3380STDY6002016,ERS576216,15056_4#41,ERR830600
3380STDY6002017,ERS576217,15056_4#42,ERR830601
3380STDY6002018,ERS576218,15056_4#43,ERR830602
3380STDY6002019,ERS576219,15056_4#44,ERR830603
3380STDY6002021,ERS576221,15056_4#45,ERR830604
3380STDY6002022,ERS576222,15056_4#46,ERR830605
3380STDY6002024,ERS576224,15056_4#47,ERR830606
3380STDY6002026,ERS576226,15056_4#48,ERR830607
3380STDY6002028,ERS576228,15056_4#49,ERR830608
3380STDY6002029,ERS576229,15056_4#50,ERR830609
3380STDY6002030,ERS576230,15056_4#51,ERR830610
3380STDY6002031,ERS576231,15056_4#52,ERR830611
3380STDY6002032,ERS576232,15056_4#53,ERR830612
3380STDY6002033,ERS576233,15056_4#54,ERR830613
3380STDY6002034,ERS576234,15056_4#55,ERR830614
3380STDY6002035,ERS576235,15056_4#56,ERR830615
3380STDY6002036,ERS576236,15056_4#57,ERR830616
3380STDY6002037,ERS576237,15056_4#58,ERR830617
3380STDY6002039,ERS576239,15056_4#59,ERR830618
3380STDY6002040,ERS576240,15056_4#60,ERR830619
3380STDY6002042,ERS576242,15056_4#61,ERR830620
3380STDY6002044,ERS576244,15056_4#62,ERR830621
3380STDY6002045,ERS576245,15056_4#63,ERR830622
3380STDY6002046,ERS576246,15056_4#64,ERR830623
3380STDY6002048,ERS576248,15056_4#65,ERR830624
3380STDY6002049,ERS576249,15056_4#66,ERR830625
3380STDY6002053,ERS576253,15056_4#67,ERR830626
3380STDY6002054,ERS576254,15056_4#68,ERR830627
3380STDY6002055,ERS576255,15056_4#69,ERR830628
3380STDY6002056,ERS576256,15056_4#70,ERR830629
3380STDY6002059,ERS576259,15056_4#71,ERR830630
3380STDY6002061,ERS576261,15056_4#73,ERR830632
3380STDY6002062,ERS576262,15056_4#74,ERR830633
3380STDY6002064,ERS576264,15056_4#75,ERR830634
3380STDY6002068,ERS576268,15056_4#76,ERR830635
3380STDY6002070,ERS576270,15056_4#77,ERR830636
3380STDY6002075,ERS576275,15056_4#78,ERR830637
3380STDY6002076,ERS576276,15056_4#79,ERR830638
3380STDY6002078,ERS576278,15056_4#80,ERR830639
3380STDY6002080,ERS576280,15056_4#81,ERR830640
